Community  2 :,
Average Degree of Seperation,2.95
Community  23 :,
Length  2 ,76
Length  3 ,1406
Average Degree of Seperation,2.948717949
Community  24 :,
Length  2 ,70
Length  3 ,556
Length  4 ,116
Length  5 ,298
Length  6 ,62
Length  7 ,144
Length  8 ,8
Length  9 ,6
Average Degree of Seperation,4.174603175
Community  25 :,
Length  2 ,66
Length  3 ,1056
Average Degree of Seperation,2.941176471
Community  26 :,
Length  2 ,64
Length  3 ,992
Average Degree of Seperation,2.939393939
Community  27 :,
Length  2 ,64
Length  3 ,874
Length  4 ,60
Length  5 ,58
Average Degree of Seperation,3.106060606
Community  28 :,
Length  2 ,58
Length  3 ,812
Average Degree of Seperation,2.933333333
Community  29 :,
Length  2 ,58
Length  3 ,434
Length  4 ,54
Length  5 ,324
Average Degree of Seperation,3.740229885
Community  30 :,
Length  2 ,58
Length  3 ,812
Average Degree of Seperation,2.933333333
Community  31 :,
Length  2 ,58
Length  3 ,656
Length  4 ,102
Length  5 ,52
Length  6 ,2
Average Degree of Seperation,3.177011494
Community  32 :,
Length  2 ,56
Length  3 ,454
Length  4 ,60
Length  5 ,202
Length  6 ,40
Average Degree of Seperation,3.650246305
Community  33 :,
Length  2 ,56
Length  3 ,756
Average Degree of Seperation,2.931034483
Community  34 :,
Length  2 ,54
Length  3 ,702
Average Degree of Seperation,2.928571429
Community  35 :,
Length  2 ,50
Length  3 ,470
Length  4 ,46
Length  5 ,84
Average Degree of Seperation,3.252307692
Community  36 :,
Length  2 ,48
Length  3 ,552
Average Degree of Seperation,2.92
Community  37 :,
Length  2 ,48
Length  3 ,552
Average Degree of Seperation,2.92
Community  38 :,
Length  2 ,46
Length  3 ,238
Length  4 ,68
Length  5 ,170
Length  6 ,12
Length  7 ,18
Average Degree of Seperation,3.851449275
Community  39 :,
Length  2 ,46
Length  3 ,386
Length  4 ,114
Length  5 ,6
Average Degree of Seperation,3.144927536
Community  40 :,
Length  2 ,46
Length  3 ,464
Length  4 ,42
Average Degree of Seperation,2.992753623
Community  41 :,
Length  2 ,44
Length  3 ,462
Average Degree of Seperation,2.913043478
Community  42 :,
Length  2 ,44
Length  3 ,232
Length  4 ,66
Length  5 ,142
Length  6 ,10
Length  7 ,12
Average Degree of Seperation,3.758893281
Community  43 :,
Length  2 ,42
Length  3 ,420
Average Degree of Seperation,2.909090909
Community  44 :,
Length  2 ,40
Length  3 ,162
Length  4 ,56
Length  5 ,134
Length  6 ,12
Length  7 ,16
Average Degree of Seperation,3.914285714
Community  45 :,
Length  2 ,40
Length  3 ,380
Average Degree of Seperation,2.904761905
Community  46 :,
Length  2 ,40
Length  3 ,182
Length  4 ,36
Length  5 ,162
Average Degree of Seperation,3.761904762
Community  47 :,
Length  2 ,36
Length  3 ,306
Average Degree of Seperation,2.894736842
Community  48 :,
Length  2 ,36
Length  3 ,306
Average Degree of Seperation,2.894736842
Community  49 :,
Length  2 ,34
Length  3 ,272
Average Degree of Seperation,2.888888889
Community  50 :,
Length  2 ,32
Length  3 ,240
Average Degree of Seperation,2.882352941
Community  51 :,
Length  2 ,32
Length  3 ,212
Length  4 ,28
Average Degree of Seperation,2.985294118
Community  52 :,
Length  2 ,32
Length  3 ,240
Average Degree of Seperation,2.882352941
Community  53 :,
Length  2 ,32
Length  3 ,240
Average Degree of Seperation,2.882352941
Community  54 :,
Length  2 ,30
Length  3 ,210
Average Degree of Seperation,2.875
Community  55 :,
Length  2 ,30
Length  3 ,210
Average Degree of Seperation,2.875
Community  56 :,
Length  2 ,30
Length  3 ,210
Average Degree of Seperation,2.875
Community  57 :,
Length  2 ,28
Length  3 ,182
Average Degree of Seperation,2.866666667
Community  58 :,
Length  2 ,28
Length  3 ,182
Average Degree of Seperation,2.866666667
Community  59 :,
Length  2 ,28
Length  3 ,182
Average Degree of Seperation,2.866666667
Community  60 :,
Length  2 ,28
Length  3 ,182
Average Degree of Seperation,2.866666667
Community  61 :,
Length  2 ,26
Length  3 ,156
Average Degree of Seperation,2.857142857
Community  62 :,
Length  2 ,26
Length  3 ,156
Average Degree of Seperation,2.857142857
Community  63 :,
Length  2 ,26
Length  3 ,156
Average Degree of Seperation,2.857142857
Community  64 :,
Length  2 ,26
Length  3 ,156
Average Degree of Seperation,2.857142857
Community  65 :,
Length  2 ,26
Length  3 ,156
Average Degree of Seperation,2.857142857
Community  66 :,
Length  2 ,26
Length  3 ,156
Average Degree of Seperation,2.857142857
Community  67 :,
Length  2 ,26
Length  3 ,156
Average Degree of Seperation,2.857142857
Community  68 :,
Length  2 ,26
Length  3 ,156
Average Degree of Seperation,2.857142857
Community  69 :,
Length  2 ,24
Length  3 ,132
Average Degree of Seperation,2.846153846
Community  70 :,
Length  2 ,24
Length  3 ,132
Average Degree of Seperation,2.846153846
Community  71 :,
Length  2 ,24
Length  3 ,132
Average Degree of Seperation,2.846153846
Community  72 :,
Length  2 ,22
Length  3 ,110
Average Degree of Seperation,2.833333333
Community  73 :,
Length  2 ,22
Length  3 ,110
Average Degree of Seperation,2.833333333
Community  74 :,
Length  2 ,22
Length  3 ,110
Average Degree of Seperation,2.833333333
Community  75 :,
Length  2 ,22
Length  3 ,110
Average Degree of Seperation,2.833333333
Community  76 :,
Length  2 ,22
Length  3 ,110
Average Degree of Seperation,2.833333333
Community  77 :,
Length  2 ,22
Length  3 ,110
Average Degree of Seperation,2.833333333
Community  78 :,
Length  2 ,22
Length  3 ,110
Average Degree of Seperation,2.833333333
Community  79 :,
Length  2 ,20
Length  3 ,90
Average Degree of Seperation,2.818181818
Community  80 :,
Length  2 ,20
Length  3 ,90
Average Degree of Seperation,2.818181818
Community  81 :,
Length  2 ,20
Length  3 ,90
Average Degree of Seperation,2.818181818
Community  82 :,
Length  2 ,20
Length  3 ,90
Average Degree of Seperation,2.818181818
Community  83 :,
Length  2 ,20
Length  3 ,60
Length  4 ,16
Length  5 ,14
Average Degree of Seperation,3.218181818
Community  84 :,
Length  2 ,20
Length  3 ,90
Average Degree of Seperation,2.818181818
Community  85 :,
Length  2 ,18
Length  3 ,72
Average Degree of Seperation,2.8
Community  86 :,
Length  2 ,18
Length  3 ,72
Average Degree of Seperation,2.8
Community  87 :,
Length  2 ,18
Length  3 ,72
Average Degree of Seperation,2.8
Community  88 :,
Length  2 ,18
Length  3 ,72
Average Degree of Seperation,2.8
Community  89 :,
Length  2 ,18
Length  3 ,72
Average Degree of Seperation,2.8
Community  90 :,
Length  2 ,18
Length  3 ,72
Average Degree of Seperation,2.8
Community  91 :,
Length  2 ,18
Length  3 ,46
Length  4 ,14
Length  5 ,12
Average Degree of Seperation,3.222222222
Community  92 :,
Length  2 ,16
Length  3 ,56
Average Degree of Seperation,2.777777778
Community  93 :,
Length  2 ,16
Length  3 ,56
Average Degree of Seperation,2.777777778
Community  94 :,
Length  2 ,16
Length  3 ,56
Average Degree of Seperation,2.777777778
Community  95 :,
Length  2 ,16
Length  3 ,56
Average Degree of Seperation,2.777777778
Community  96 :,
Length  2 ,16
Length  3 ,34
Length  4 ,12
Length  5 ,10
Average Degree of Seperation,3.222222222
Community  97 :,
Length  2 ,16
Length  3 ,56
Average Degree of Seperation,2.777777778
Community  98 :,
Length  2 ,16
Length  3 ,56
Average Degree of Seperation,2.777777778
Community  99 :,
Length  2 ,16
Length  3 ,56
Average Degree of Seperation,2.777777778
Community  100 :,
Length  2 ,16
Length  3 ,56
Average Degree of Seperation,2.777777778
Community  101 :,
Length  2 ,14
Length  3 ,42
Average Degree of Seperation,2.75
Community  102 :,
Length  2 ,14
Length  3 ,42
Average Degree of Seperation,2.75
Community  103 :,
Length  2 ,14
Length  3 ,42
Average Degree of Seperation,2.75
Community  104 :,
Length  2 ,14
Length  3 ,42
Average Degree of Seperation,2.75
Community  105 :,
Length  2 ,14
Length  3 ,42
Average Degree of Seperation,2.75
Community  106 :,
Length  2 ,14
Length  3 ,42
Average Degree of Seperation,2.75
Community  107 :,
Length  2 ,14
Length  3 ,42
Average Degree of Seperation,2.75
Community  108 :,
Length  2 ,14
Length  3 ,42
Average Degree of Seperation,2.75
Community  109 :,
Length  2 ,14
Length  3 ,42
Average Degree of Seperation,2.75
Community  110 :,
Length  2 ,14
Length  3 ,42
Average Degree of Seperation,2.75
Community  111 :,
Length  2 ,14
Length  3 ,42
Average Degree of Seperation,2.75
Community  112 :,
Length  2 ,14
Length  3 ,42
Average Degree of Seperation,2.75
Community  113 :,
Length  2 ,14
Length  3 ,32
Length  4 ,10
Average Degree of Seperation,2.928571429
Community  114 :,
Length  2 ,14
Length  3 ,42
Average Degree of Seperation,2.75
Community  115 :,
Length  2 ,12
Length  3 ,30
Average Degree of Seperation,2.714285714
Community  116 :,
Length  2 ,12
Length  3 ,30
Average Degree of Seperation,2.714285714
Community  117 :,
Length  2 ,12
Length  3 ,30
Average Degree of Seperation,2.714285714
Community  118 :,
Length  2 ,12
Length  3 ,30
Average Degree of Seperation,2.714285714
Community  119 :,
Length  2 ,12
Length  3 ,30
Average Degree of Seperation,2.714285714
Community  120 :,
Length  2 ,12
Length  3 ,30
Average Degree of Seperation,2.714285714
Community  121 :,
Length  2 ,12
Length  3 ,30
Average Degree of Seperation,2.714285714
Community  122 :,
Length  2 ,12
Length  3 ,30
Average Degree of Seperation,2.714285714
Community  123 :,
Length  2 ,12
Length  3 ,30
Average Degree of Seperation,2.714285714
Community  124 :,
Length  2 ,12
Length  3 ,30
Average Degree of Seperation,2.714285714
Community  125 :,
Length  2 ,12
Length  3 ,30
Average Degree of Seperation,2.714285714
Community  126 :,
Length  2 ,12
Length  3 ,30
Average Degree of Seperation,2.714285714
Community  127 :,
Length  2 ,12
Length  3 ,30
Average Degree of Seperation,2.714285714
Community  128 :,
Length  2 ,12
Length  3 ,30
Average Degree of Seperation,2.714285714
Community  129 :,
Length  2 ,12
Length  3 ,14
Length  4 ,12
Length  5 ,4
Average Degree of Seperation,3.19047619
Community  130 :,
Length  2 ,12
Length  3 ,30
Average Degree of Seperation,2.714285714
Community  131 :,
Length  2 ,12
Length  3 ,30
Average Degree of Seperation,2.714285714
Community  132 :,
Length  2 ,12
Length  3 ,22
Length  4 ,8
Average Degree of Seperation,2.904761905
Community  133 :,
Length  2 ,12
Length  3 ,30
Average Degree of Seperation,2.714285714
Community  134 :,
Length  2 ,12
Length  3 ,30
Average Degree of Seperation,2.714285714
Community  135 :,
Length  2 ,12
Length  3 ,30
Average Degree of Seperation,2.714285714
Community  136 :,
Length  2 ,12
Length  3 ,30
Average Degree of Seperation,2.714285714
Community  137 :,
Length  2 ,12
Length  3 ,30
Average Degree of Seperation,2.714285714
Community  138 :,
Length  2 ,10
Length  3 ,14
Length  4 ,6
Average Degree of Seperation,2.866666667
Community  139 :,
Length  2 ,10
Length  3 ,20
Average Degree of Seperation,2.666666667
Community  140 :,
Length  2 ,10
Length  3 ,20
Average Degree of Seperation,2.666666667
Community  141 :,
Length  2 ,10
Length  3 ,10
Length  4 ,6
Length  5 ,4
Average Degree of Seperation,3.133333333
Community  142 :,
Length  2 ,10
Length  3 ,20
Average Degree of Seperation,2.666666667
Community  143 :,
Length  2 ,10
Length  3 ,20
Average Degree of Seperation,2.666666667
Community  144 :,
Length  2 ,10
Length  3 ,20
Average Degree of Seperation,2.666666667
Community  145 :,
Length  2 ,10
Length  3 ,20
Average Degree of Seperation,2.666666667
Community  146 :,
Length  2 ,10
Length  3 ,20
Average Degree of Seperation,2.666666667
Community  147 :,
Length  2 ,10
Length  3 ,20
Average Degree of Seperation,2.666666667
Community  148 :,
Length  2 ,10
Length  3 ,20
Average Degree of Seperation,2.666666667
Community  149 :,
Length  2 ,10
Length  3 ,20
Average Degree of Seperation,2.666666667
Community  150 :,
Length  2 ,10
Length  3 ,20
Average Degree of Seperation,2.666666667
Community  151 :,
Length  2 ,10
Length  3 ,20
Average Degree of Seperation,2.666666667
Community  152 :,
Length  2 ,10
Length  3 ,20
Average Degree of Seperation,2.666666667
Community  153 :,
Length  2 ,10
Length  3 ,20
Average Degree of Seperation,2.666666667
Community  154 :,
Length  2 ,10
Length  3 ,20
Average Degree of Seperation,2.666666667
Community  155 :,
Length  2 ,10
Length  3 ,20
Average Degree of Seperation,2.666666667
Community  156 :,
Length  2 ,10
Length  3 ,20
Average Degree of Seperation,2.666666667
Community  157 :,
Length  2 ,10
Length  3 ,20
Average Degree of Seperation,2.666666667
Community  158 :,
Length  2 ,10
Length  3 ,20
Average Degree of Seperation,2.666666667
Community  159 :,
Length  2 ,10
Length  3 ,20
Average Degree of Seperation,2.666666667
Community  160 :,
Length  2 ,10
Length  3 ,20
Average Degree of Seperation,2.666666667
Community  161 :,
Length  2 ,10
Length  3 ,20
Average Degree of Seperation,2.666666667
Community  162 :,
Length  2 ,10
Length  3 ,20
Average Degree of Seperation,2.666666667
Community  163 :,
Length  2 ,10
Length  3 ,20
Average Degree of Seperation,2.666666667
Community  164 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  165 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  166 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  167 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  168 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  169 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  170 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  171 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  172 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  173 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  174 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  175 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  176 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  177 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  178 :,
Length  2 ,8
Length  3 ,8
Length  4 ,4
Average Degree of Seperation,2.8
Community  179 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  180 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  181 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  182 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  183 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  184 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  185 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  186 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  187 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  188 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  189 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  190 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  191 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  192 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  193 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  194 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  195 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  196 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  197 :,
Length  2 ,8
Length  3 ,8
Length  4 ,4
Average Degree of Seperation,2.8
Community  198 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  199 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  200 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  201 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  202 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  203 :,
Length  2 ,8
Length  3 ,12
Average Degree of Seperation,2.6
Community  204 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  205 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  206 :,
Length  2 ,6
Length  3 ,4
Length  4 ,2
Average Degree of Seperation,2.666666667
Community  207 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  208 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  209 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  210 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  211 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  212 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  213 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  214 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  215 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  216 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  217 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  218 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  219 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  220 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  221 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  222 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  223 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  224 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  225 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  226 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  227 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  228 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  229 :,
Length  2 ,6
Length  3 ,4
Length  4 ,2
Average Degree of Seperation,2.666666667
Community  230 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  231 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  232 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  233 :,
Length  2 ,6
Length  3 ,4
Length  4 ,2
Average Degree of Seperation,2.666666667
Community  234 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  235 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  236 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  237 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  238 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  239 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  240 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  241 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  242 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  243 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  244 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  245 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  246 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  247 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  248 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  249 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  250 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  251 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  252 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  253 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  254 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  255 :,
Length  2 ,6
Length  3 ,4
Length  4 ,2
Average Degree of Seperation,2.666666667
Community  256 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  257 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  258 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  259 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  260 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  261 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  262 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  263 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  264 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  265 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  266 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  267 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  268 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  269 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  270 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  271 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  272 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  273 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  274 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  275 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  276 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  277 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  278 :,
Length  2 ,6
Length  3 ,6
Average Degree of Seperation,2.5
Community  279 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  280 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  281 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  282 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  283 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  284 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  285 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  286 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  287 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  288 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  289 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  290 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  291 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  292 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  293 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  294 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  295 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  296 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  297 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  298 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  299 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  300 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  301 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  302 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  303 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  304 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  305 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  306 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  307 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  308 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  309 :,
Length  2 ,4
Length  3 ,2
Average Degree of Seperation,2.333333333
Community  310 :,
Length  2 ,4
Length  3 ,2
